# image name,latitude [decimal degrees],longitude [decimal degrees],altitude [meter],omega [degrees],phi [degrees],kappa [degrees],accuracy horizontal [meter],accuracy vertical [meter]
21_06_15_Wingtra_High_Flight_01_00002.JPG,27.6688896556919310,-97.1728259992739112,113.22025299,-6.93631974,-4.97245926,-43.89393642,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00003.JPG,27.6690892557856536,-97.1726944383049585,113.97704315,-2.21643916,4.82458498,-43.76236340,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00004.JPG,27.6692847959645398,-97.1725574784793906,113.68144226,-2.00876472,3.41836942,-46.65294257,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00005.JPG,27.6694779142292475,-97.1724136445618001,113.77587891,-6.55999466,0.60454356,-42.77288815,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00006.JPG,27.6696737661732755,-97.1722743959822139,113.66326141,-4.06950701,2.78442012,-44.37304310,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00007.JPG,27.6698684635793128,-97.1721377241468787,113.63115692,-3.57147256,2.62563820,-44.73223061,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00008.JPG,27.6700638801234859,-97.1719975668247571,113.88428497,-5.36223492,2.10613629,-44.35997891,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00009.JPG,27.6702592592700327,-97.1718568262009228,113.39321136,-5.19878062,1.15896917,-44.46268979,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00010.JPG,27.6704540442957985,-97.1717190636554733,113.21047211,-3.70470650,1.61316042,-44.97773059,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00011.JPG,27.6706513432254582,-97.1715805971266917,113.04933167,-3.45916564,0.56241391,-43.64668315,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00012.JPG,27.6708473518326805,-97.1714458170531401,113.10213470,-2.45492251,1.44239889,-42.91157867,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00013.JPG,27.6710457440466087,-97.1713087307164471,113.17861176,-2.04316127,2.14894054,-43.15811465,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00014.JPG,27.6712406434644755,-97.1711725941179481,113.44754791,-2.27116764,2.20579719,-45.26688662,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00015.JPG,27.6714370390341422,-97.1710324238507610,113.87698364,-4.43355913,2.73430182,-44.78908013,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00016.JPG,27.6716313125503248,-97.1708932652954473,113.65347290,-5.49702245,2.12753641,-43.56494671,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00017.JPG,27.6718301871207508,-97.1707566168265515,113.01893616,-3.88119355,2.45070380,-43.17880900,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00018.JPG,27.6720270311547516,-97.1706185143105188,112.75071716,-2.67221945,1.88026230,-45.95457709,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00019.JPG,27.6722213209936108,-97.1704787987761875,112.66100311,-2.37289864,0.88397175,-44.57216669,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00020.JPG,27.6724168053678561,-97.1703381047675805,112.63877106,-3.97066594,-0.00013841,-46.15900245,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00021.JPG,27.6726137458601329,-97.1701993078985993,112.75529480,-3.60417414,0.11159413,-43.75116172,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00022.JPG,27.6728096458305792,-97.1700653146046420,112.78095245,-1.56666123,2.03798129,-45.47261429,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00023.JPG,27.6730075158901663,-97.1699264087286565,112.86624146,-2.68566860,1.16622706,-46.76474426,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00024.JPG,27.6732059979251126,-97.1697935029395126,112.78700256,-19.63417188,-20.74397750,-40.53107720,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00025.JPG,27.6734315664233463,-97.1697261154077125,112.80410767,-8.61600701,-22.81531956,-13.95905244,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00026.JPG,27.6732610200485958,-97.1694559989832811,113.40279388,4.34047806,4.78235205,164.16660606,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00027.JPG,27.6730622040437382,-97.1695882600925671,113.45552063,3.11996658,-2.06991147,165.08615531,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00028.JPG,27.6728628884234311,-97.1697212652635045,113.52461243,3.50472885,-1.47083651,162.78838054,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00029.JPG,27.6726670706242643,-97.1698590705293981,113.45840454,2.61398502,-0.12095909,159.99202826,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00030.JPG,27.6724734851540290,-97.1700029277330657,113.39799500,4.04518348,1.93235346,159.48305339,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00031.JPG,27.6722799162264188,-97.1701426172313774,113.61156464,4.00237956,0.60025869,161.20036389,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00032.JPG,27.6720808451993960,-97.1702790045127784,113.14438629,3.39994934,-0.98271453,161.29521190,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00033.JPG,27.6718838219853751,-97.1704145897230376,113.24732971,3.04600798,-0.53937743,159.87791816,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00034.JPG,27.6716905786929104,-97.1705542702194123,113.41897583,3.88743580,1.06926070,159.91566739,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00035.JPG,27.6714946209460315,-97.1706949021715189,113.63564301,4.19926472,0.25896652,162.87713094,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00036.JPG,27.6712981816332722,-97.1708304149331070,113.53471375,5.21455933,-0.90429973,161.90689857,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00037.JPG,27.6711024084382586,-97.1709690583755616,113.28388977,3.91347208,0.34135172,162.21956811,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00038.JPG,27.6709071824920123,-97.1711065172905393,113.11651611,3.00678087,0.46346126,162.77411783,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00039.JPG,27.6707111938481987,-97.1712441305875956,113.47265625,4.11806575,-0.05164024,161.29658764,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00040.JPG,27.6705150218746283,-97.1713824743900432,113.41708374,4.67426040,-0.09123871,161.99026911,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00041.JPG,27.6703180410230125,-97.1715200595467365,113.14867401,3.47550619,-0.26647011,160.46874961,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00042.JPG,27.6701222163672433,-97.1716579025196410,113.12711334,3.27734927,-0.71795279,160.20900069,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00043.JPG,27.6699265735362765,-97.1717959903377846,113.32435608,3.36419831,-0.23770467,159.47760567,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00044.JPG,27.6697331904650667,-97.1719378668164353,113.57044983,7.08317868,2.35674048,161.40742741,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00045.JPG,27.6695340313345746,-97.1720724120633008,113.13978577,2.72636758,-1.30557575,158.95236960,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00046.JPG,27.6693393325935517,-97.1722125927458933,113.30424500,4.32182638,0.21940140,160.42298179,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00047.JPG,27.6691442609176761,-97.1723513801703405,113.34878540,5.16880962,2.18346872,160.20852742,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00048.JPG,27.6689463461232954,-97.1724884839236438,113.07144928,1.87910551,-3.38265685,160.60631833,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00049.JPG,27.6687692355777770,-97.1726581290003395,113.01602173,-13.20639201,-19.08454729,136.56612072,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00050.JPG,27.6686411279227364,-97.1724044067458408,112.80789185,4.64732495,7.53951712,-45.30940468,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00051.JPG,27.6688348018019425,-97.1722632189210174,113.18065643,-3.78191832,0.43606351,-49.21818437,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00052.JPG,27.6690278521458630,-97.1721189418186810,113.24479675,-5.29212630,-1.50567930,-46.20065945,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00053.JPG,27.6692241080899741,-97.1719800169350805,113.48443604,-3.12159249,2.02881652,-45.76029125,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00054.JPG,27.6694175461516849,-97.1718382028975611,112.96974182,-4.38955187,-0.82239116,-46.34494439,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00055.JPG,27.6696164121648778,-97.1717033708438152,112.83129120,-1.83810756,0.43516751,-43.52837161,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00056.JPG,27.6698157908826836,-97.1715717556628817,113.12244415,0.47165766,3.26223929,-45.66417194,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00057.JPG,27.6700113341381204,-97.1714329783489887,113.11322021,-2.11506543,0.95535447,-48.00413299,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00058.JPG,27.6702053720904040,-97.1712926200971197,113.07695770,-2.53625152,0.30062080,-48.75250350,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00059.JPG,27.6703998226873544,-97.1711546402722632,113.02272797,-2.63549810,0.62507898,-45.09555264,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00060.JPG,27.6705946313698874,-97.1710157750154906,112.73597717,-1.36107263,0.22611106,-48.63635857,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00061.JPG,27.6707914757859008,-97.1708758969785720,112.87707520,-2.93678044,-0.03059574,-45.51942308,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00062.JPG,27.6709876218732909,-97.1707380139302757,112.89733887,-1.94160560,0.58994794,-44.85136912,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00063.JPG,27.6711830165087598,-97.1705995216847924,113.06638336,-3.05790658,0.61113226,-44.38195712,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00064.JPG,27.6713793710575899,-97.1704631531087699,113.29263306,-2.21043058,1.60974101,-45.07384902,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00065.JPG,27.6715748518895950,-97.1703262982155138,113.70394897,-2.78938139,2.81832009,-46.85758805,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00066.JPG,27.6717705029900429,-97.1701867836096511,113.81622314,-4.30883300,2.76447472,-45.02254629,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00067.JPG,27.6719660850685862,-97.1700476640886279,113.56311035,-4.85023339,1.66374638,-45.81822237,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00068.JPG,27.6721616500007990,-97.1699091668087505,113.36067200,-3.43238676,1.09597175,-46.97369513,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00069.JPG,27.6723570827953722,-97.1697714186788062,113.10395813,-3.85635523,1.37084455,-47.10087065,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00070.JPG,27.6725527346989502,-97.1696310512540435,112.98914337,-2.41755986,1.90756332,-48.13202299,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00071.JPG,27.6727461598445572,-97.1694910306161006,113.09072113,-5.38844826,-0.59942762,-46.11818976,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00072.JPG,27.6729452534951825,-97.1693584018553338,113.02494812,-17.40973613,-15.61088162,-43.01602073,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00073.JPG,27.6731684302989969,-97.1692805528023342,113.05493927,-10.22744684,-24.03713294,-14.23272395,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00074.JPG,27.6730309402945842,-97.1690037588385422,113.57513428,5.22318359,3.75111267,161.55165420,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00075.JPG,27.6728341855924960,-97.1691370327276331,113.35448456,3.52890845,-2.17935519,163.73983888,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00076.JPG,27.6726361749375833,-97.1692737542549310,112.91013336,2.72678221,-0.83465579,162.57748999,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00077.JPG,27.6724424448294251,-97.1694142812070822,112.83010101,3.88265748,1.70303442,163.56232631,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00078.JPG,27.6722462900376804,-97.1695523474336937,112.66984558,2.52145649,-0.07566377,163.57380944,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00079.JPG,27.6720527369359210,-97.1696923496608349,113.05094147,4.18662802,1.72789769,164.12506776,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00080.JPG,27.6718557516197095,-97.1698280393988085,113.03914642,3.31421997,-1.01740070,163.74802178,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00081.JPG,27.6716605336909183,-97.1699677710559371,113.63554382,3.78627922,-0.33733848,161.46985829,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00082.JPG,27.6714637813812487,-97.1701027577384906,113.60594940,5.07175426,-1.55256469,164.06952769,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00083.JPG,27.6712671279244837,-97.1702416097173511,113.30175781,3.80499556,0.48110895,162.43651491,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00084.JPG,27.6710714866467136,-97.1703808685391266,113.64659119,4.09558816,-0.42568064,161.62385149,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00085.JPG,27.6708759135394580,-97.1705170806054497,113.23030853,4.42433118,-0.61847407,160.11339810,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00086.JPG,27.6706795783062560,-97.1706557770712465,112.91532135,2.93680427,-0.10339870,159.57397994,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00087.JPG,27.6704853607564694,-97.1707970400920971,112.93997192,3.71403602,1.39524430,159.93440714,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00088.JPG,27.6702889921568769,-97.1709331925846271,113.39952850,3.55120048,0.68541130,162.26932453,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00089.JPG,27.6700933871577170,-97.1710701704435138,113.39813995,3.91330768,0.47390543,158.85426207,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00090.JPG,27.6698967604497952,-97.1712075530003005,113.68169403,4.67882928,-0.02767075,161.07031639,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00091.JPG,27.6696985137190694,-97.1713426615585263,113.77441406,4.62082051,-0.92847767,158.69137142,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00092.JPG,27.6695040720704206,-97.1714842823766674,113.37077332,4.32961140,0.73400662,157.23390770,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00093.JPG,27.6693106373590858,-97.1716257968036388,113.15508270,3.78891563,1.96261972,158.30081818,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00094.JPG,27.6691136650242129,-97.1717641144174991,112.95983887,3.28784025,0.56133882,159.93244642,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00095.JPG,27.6689166426374378,-97.1719001090559260,112.82226563,1.99404440,0.18941603,159.59689334,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00096.JPG,27.6687227824648296,-97.1720414823905401,113.32420349,3.85560837,2.03029566,161.26041424,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00097.JPG,27.6685372966042316,-97.1721999866940678,113.18213654,-12.57655625,-21.15838222,139.35043177,5.00,10.00
21_06_15_Wingtra_High_Flight_01_00098.JPG,27.6683788327630751,-97.1719705259993844,113.36658478,1.72124870,7.51363505,-44.17946212,5.00,10.00
