# image name,latitude [decimal degrees],longitude [decimal degrees],altitude [meter],omega [degrees],phi [degrees],kappa [degrees],accuracy horizontal [meter],accuracy vertical [meter]
21_06_15_Wingtra_High_Flight_01_00002.JPG,27.6688543918764189,-97.1727798602477151,101.24707184,-6.93631974,-4.97245926,-43.89393642,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00003.JPG,27.6690584393162240,-97.1726433890052448,102.24227022,-2.21643916,4.82458498,-43.76236340,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00004.JPG,27.6692553768526714,-97.1725057408917223,102.04645774,-2.00876472,3.41836942,-46.65294257,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00005.JPG,27.6694483546157990,-97.1723645180029507,102.13672562,-6.55999466,0.60454356,-42.77288815,0.03,0.03
21_06_15_Wingtra_High_Flight_01_00006.JPG,27.6696521363893062,-97.1722241209351694,101.95334901,-4.06950701,2.78442012,-44.37304310,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00007.JPG,27.6698458501139299,-97.1720914149263706,101.87603209,-3.57147256,2.62563820,-44.73223061,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00008.JPG,27.6700440416076816,-97.1719530733212906,102.15807730,-5.36223492,2.10613629,-44.35997891,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00009.JPG,27.6702439463400829,-97.1718151775095009,101.71294540,-5.19878062,1.15896917,-44.46268979,0.03,0.03
21_06_15_Wingtra_High_Flight_01_00010.JPG,27.6704422677158952,-97.1716811446735846,101.49602405,-3.70470650,1.61316042,-44.97773059,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00011.JPG,27.6706418734769777,-97.1715466401597041,101.30452704,-3.45916564,0.56241391,-43.64668315,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00012.JPG,27.6708425262248952,-97.1714133738538237,101.34161580,-2.45492251,1.44239889,-42.91157867,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00013.JPG,27.6710415304427144,-97.1712796533085026,101.46428584,-2.04316127,2.14894054,-43.15811465,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00014.JPG,27.6712374779304326,-97.1711453050305067,101.69525264,-2.27116764,2.20579719,-45.26688662,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00015.JPG,27.6714286891948795,-97.1710104655020928,102.15370471,-4.43355913,2.73430182,-44.78908013,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00016.JPG,27.6716301014821831,-97.1708690669759676,101.92370849,-5.49702245,2.12753641,-43.56494671,0.03,0.05
21_06_15_Wingtra_High_Flight_01_00017.JPG,27.6718228421210846,-97.1707362131438970,101.28715156,-3.88119355,2.45070380,-43.17880900,0.02,0.04
21_06_15_Wingtra_High_Flight_01_00018.JPG,27.6720229353346490,-97.1705958643792229,100.96279338,-2.67221945,1.88026230,-45.95457709,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00019.JPG,27.6722170011305089,-97.1704570384405457,100.79330792,-2.37289864,0.88397175,-44.57216669,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00020.JPG,27.6724170623893286,-97.1703142976268168,100.84613366,-3.97066594,-0.00013841,-46.15900245,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00021.JPG,27.6726143923227781,-97.1701773691426212,100.96268374,-3.60417414,0.11159413,-43.75116172,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00022.JPG,27.6728132098244934,-97.1700428647196617,101.00089367,-1.56666123,2.03798129,-45.47261429,0.02,0.04
21_06_15_Wingtra_High_Flight_01_00023.JPG,27.6730093375092316,-97.1699057749899282,101.10962829,-2.68566860,1.16622706,-46.76474426,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00024.JPG,27.6732080210042319,-97.1697719655598178,101.10199660,-19.63417188,-20.74397750,-40.53107720,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00025.JPG,27.6734351416703674,-97.1696985525201598,101.05056131,-8.61600701,-22.81531956,-13.95905244,0.03,0.05
21_06_15_Wingtra_High_Flight_01_00026.JPG,27.6732661482465865,-97.1694136617577868,101.77977278,4.34047806,4.78235205,164.16660606,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00027.JPG,27.6730584804991153,-97.1695462141485962,101.91208837,3.11996658,-2.06991147,165.08615531,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00028.JPG,27.6728587559959962,-97.1696807060149013,102.04418505,3.50472885,-1.47083651,162.78838054,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00029.JPG,27.6726653683057364,-97.1698217089201535,101.94785990,2.61398502,-0.12095909,159.99202826,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00030.JPG,27.6724747662983219,-97.1699658241564350,101.95733698,4.04518348,1.93235346,159.48305339,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00031.JPG,27.6722739639285962,-97.1701092097619608,102.14146527,4.00237956,0.60025869,161.20036389,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00032.JPG,27.6720755416351949,-97.1702450827473996,101.77553833,3.39994934,-0.98271453,161.29521190,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00033.JPG,27.6718800286126267,-97.1703814226012383,101.75294794,3.04600798,-0.53937743,159.87791816,0.02,0.04
21_06_15_Wingtra_High_Flight_01_00034.JPG,27.6716874423576762,-97.1705215516052903,101.87321419,3.88743580,1.06926070,159.91566739,0.03,0.05
21_06_15_Wingtra_High_Flight_01_00035.JPG,27.6714904385521301,-97.1706588602683894,102.13594298,4.19926472,0.25896652,162.87713094,0.02,0.03
