# image name,latitude [decimal degrees],longitude [decimal degrees],altitude [meter],omega [degrees],phi [degrees],kappa [degrees],accuracy horizontal [meter],accuracy vertical [meter]
21_06_15_Wingtra_Low_2_Flight_01_00002.JPG,27.6688614489564699,-97.1728067933882329,71.04599762,-6.41985855,-3.04891913,-44.92849705,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00003.JPG,27.6689870234113577,-97.1727273902994000,71.32794189,-0.76661010,3.89200357,-45.73308314,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00004.JPG,27.6691100227870557,-97.1726457451964052,71.25202179,-0.19665572,4.38526054,-47.25015112,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00005.JPG,27.6692331856471334,-97.1725586071258220,71.34499359,-1.32884183,2.62979209,-49.74654064,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00006.JPG,27.6693552509961620,-97.1724703237722878,71.49279022,-4.25684006,1.39595142,-49.53978722,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00007.JPG,27.6694775853332793,-97.1723830607674586,71.43925476,-4.00120891,1.82331088,-47.65505882,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00008.JPG,27.6695996302456848,-97.1722971079753819,71.34473419,-4.27265949,2.05164925,-48.27582789,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00009.JPG,27.6697226404024832,-97.1722106980221980,71.05081940,-3.25276385,1.87821026,-47.95741978,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00010.JPG,27.6698451908342626,-97.1721242897907587,70.92496490,-2.59281845,1.73585012,-48.63623009,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00011.JPG,27.6699682616764804,-97.1720366080621289,70.90617371,-3.56299410,0.87553476,-47.16830005,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00012.JPG,27.6700905320950596,-97.1719492560729492,70.85390472,-2.74191299,1.21774325,-46.99725720,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00013.JPG,27.6702129833908401,-97.1718611767584122,70.96437836,-3.60037312,0.78515730,-48.53644043,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00014.JPG,27.6703345463709454,-97.1717752822925718,70.92328644,-3.42089787,1.04745919,-47.94702676,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00015.JPG,27.6704583572579565,-97.1716884541509813,70.91120911,-3.79483659,0.12425579,-45.71589523,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00016.JPG,27.6705812618576061,-97.1716041552578389,71.17562866,-0.89488373,3.29002309,-45.92937853,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00017.JPG,27.6707031174520885,-97.1715191183223084,71.19770813,-2.02425027,3.34230984,-48.22171324,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00018.JPG,27.6708250082510290,-97.1714305621609640,71.17662048,-4.10413646,1.40534405,-47.43200277,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00019.JPG,27.6709486322896936,-97.1713419041874431,70.99102783,-4.17907641,1.28878858,-47.84594516,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00020.JPG,27.6710718503695112,-97.1712557767677083,71.10142517,-3.73498812,1.21724422,-47.43562074,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00021.JPG,27.6711960628804583,-97.1711718016760813,71.25850677,-2.84778082,2.94365492,-47.05570461,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00022.JPG,27.6713194261858568,-97.1710872810616735,71.17386627,-1.82909024,3.82805468,-48.91700712,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00023.JPG,27.6714416187517820,-97.1710000255936137,71.15907288,-2.75913000,2.62261633,-49.07593679,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00024.JPG,27.6715617793592195,-97.1709120929031656,71.16030121,-4.21886410,0.79566647,-49.53451987,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00025.JPG,27.6716847712841130,-97.1708238112046132,71.70275116,-3.87193101,1.75270733,-50.22757131,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00026.JPG,27.6718082571831481,-97.1707377721777306,71.94519043,-4.63165147,3.79480558,-47.84687894,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00027.JPG,27.6719308779440354,-97.1706500048264559,71.60700226,-4.11617298,2.90225379,-48.22393744,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00028.JPG,27.6720517567184672,-97.1705633650918799,71.22687531,-4.98394368,1.61493085,-48.30244432,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00029.JPG,27.6721756708727469,-97.1704771043644087,70.89679718,-3.43201506,1.49152052,-47.89074118,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00030.JPG,27.6723003981828590,-97.1703918365754618,70.62298584,-2.14498970,2.28771784,-48.70796314,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00031.JPG,27.6724231540566059,-97.1703064435758250,70.48107147,-0.92422743,1.56601912,-49.11576542,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00032.JPG,27.6725460105807670,-97.1702192731147818,70.72959900,-2.54136117,1.55423427,-49.52084998,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00033.JPG,27.6726688670539183,-97.1701323888042339,70.53684998,-2.47651096,1.12945676,-49.87570234,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00034.JPG,27.6727897018691955,-97.1700457861850850,70.57089233,-3.17691601,0.24874066,-49.13402168,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00035.JPG,27.6729144102311118,-97.1699589346128363,70.60227966,-2.42937467,0.87898676,-48.48665327,5.00,10.00
