# image name,latitude [decimal degrees],longitude [decimal degrees],altitude [meter],omega [degrees],phi [degrees],kappa [degrees],accuracy horizontal [meter],accuracy vertical [meter]
21_06_15_Wingtra_Low_2_Flight_01_00002.JPG,27.6688581526695323,-97.1727707871034880,53.13107137,-6.41985855,-3.04891913,-44.92849705,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00003.JPG,27.6689809134203948,-97.1726916381708890,53.48432673,-0.76661010,3.89200357,-45.73308314,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00004.JPG,27.6691106211818436,-97.1726054293776684,53.52506211,-0.19665572,4.38526054,-47.25015112,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00005.JPG,27.6692314905084800,-97.1725191570061071,53.63499005,-1.32884183,2.62979209,-49.74654064,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00006.JPG,27.6693503543367427,-97.1724316695760280,53.85542079,-4.25684006,1.39595142,-49.53978722,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00007.JPG,27.6694753382872847,-97.1723406047545950,53.86460133,-4.00120891,1.82331088,-47.65505882,0.03,0.06
21_06_15_Wingtra_Low_2_Flight_01_00008.JPG,27.6695955952547834,-97.1722538910906479,53.79001410,-4.27265949,2.05164925,-48.27582789,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00009.JPG,27.6697166741571188,-97.1721668258556974,53.49853434,-3.25276385,1.87821026,-47.95741978,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00010.JPG,27.6698437214278421,-97.1720747811949792,53.32911621,-2.59281845,1.73585012,-48.63623009,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00011.JPG,27.6699649958104033,-97.1719862474339635,53.25890791,-3.56299410,0.87553476,-47.16830005,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00012.JPG,27.6700866533880188,-97.1718976854810563,53.21368366,-2.74191299,1.21774325,-46.99725720,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00013.JPG,27.6702083421920406,-97.1718093487792913,53.30410199,-3.60037312,0.78515730,-48.53644043,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00014.JPG,27.6703307584831393,-97.1717217430880851,53.26630456,-3.42089787,1.04745919,-47.94702676,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00015.JPG,27.6704543360005566,-97.1716348241122887,53.24934574,-3.79483659,0.12425579,-45.71589523,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00016.JPG,27.6705788596105471,-97.1715492834823920,53.45888043,-0.89488373,3.29002309,-45.92937853,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00017.JPG,27.6706958791331523,-97.1714671126173073,53.50074108,-2.02425027,3.34230984,-48.22171324,0.03,0.06
21_06_15_Wingtra_Low_2_Flight_01_00018.JPG,27.6708168380850275,-97.1713799771065538,53.49856984,-4.10413646,1.40534405,-47.43200277,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00019.JPG,27.6709438289877205,-97.1712893946818497,53.31068179,-4.17907641,1.28878858,-47.84594516,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00020.JPG,27.6710660483142696,-97.1712038574825101,53.33893762,-3.73498812,1.21724422,-47.43562074,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00021.JPG,27.6711939378472032,-97.1711155129570869,53.49294502,-2.84778082,2.94365492,-47.05570461,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00022.JPG,27.6713097651250628,-97.1710337553916617,53.42482337,-1.82909024,3.82805468,-48.91700712,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00023.JPG,27.6714349077943282,-97.1709419639765173,53.37749758,-2.75913000,2.62261633,-49.07593679,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00024.JPG,27.6715542944623820,-97.1708533078746228,53.39110210,-4.21886410,0.79566647,-49.53451987,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00025.JPG,27.6716744959622822,-97.1707662829065271,53.94627286,-3.87193101,1.75270733,-50.22757131,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00026.JPG,27.6717942283167027,-97.1706809956870643,54.35025200,-4.63165147,3.79480558,-47.84687894,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00027.JPG,27.6719192134481169,-97.1705917069679401,54.09697098,-4.11617298,2.90225379,-48.22393744,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00028.JPG,27.6720397339504345,-97.1705059752636515,53.75562842,-4.98394368,1.61493085,-48.30244432,0.03,0.06
21_06_15_Wingtra_Low_2_Flight_01_00029.JPG,27.6721625763342338,-97.1704208640368705,53.38975938,-3.43201506,1.49152052,-47.89074118,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00030.JPG,27.6722866531123941,-97.1703358060595832,53.08808372,-2.14498970,2.28771784,-48.70796314,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00031.JPG,27.6724050168535847,-97.1702535789698629,52.85431119,-0.92422743,1.56601912,-49.11576542,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00032.JPG,27.6725335501414307,-97.1701629669677942,53.08007666,-2.54136117,1.55423427,-49.52084998,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00033.JPG,27.6726563300696995,-97.1700758821481827,52.92141761,-2.47651096,1.12945676,-49.87570234,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00034.JPG,27.6727736683078440,-97.1699925803458768,52.91457532,-3.17691601,0.24874066,-49.13402168,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00035.JPG,27.6729029735196050,-97.1699023934983899,52.93219933,-2.42937467,0.87898676,-48.48665327,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00036.JPG,27.6730270634358000,-97.1698164146912831,53.10169586,-1.51201168,1.92428657,-49.35350599,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00037.JPG,27.6731518482833820,-97.1697319999688744,53.27832162,-19.63174193,-15.80949384,-46.97901555,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00038.JPG,27.6732859366728441,-97.1696715480919408,53.44180083,-19.11790829,-31.93949386,-29.09286478,0.09,0.06
21_06_15_Wingtra_Low_2_Flight_01_00039.JPG,27.6734298469553011,-97.1696518179241480,53.43774143,-8.56512098,-24.32020694,-10.41004673,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00040.JPG,27.6732882197343741,-97.1694656562362979,54.07391470,5.20132022,4.73347387,166.31678996,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00041.JPG,27.6731628225180835,-97.1695504035392759,54.16307716,5.27135185,-0.54718903,167.14266469,0.03,0.06
21_06_15_Wingtra_Low_2_Flight_01_00042.JPG,27.6730382724561217,-97.1696348959437586,53.59620915,3.33455795,-0.68210054,163.80145161,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00043.JPG,27.6729089964801567,-97.1697247700524969,53.50457488,3.90931646,-0.61209353,164.44597341,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00044.JPG,27.6727919784009337,-97.1698064792993961,53.04298123,2.81619567,-0.02190538,165.59563736,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00045.JPG,27.6726657380993259,-97.1698948216345286,52.99401557,2.60255397,-0.24644320,164.01440373,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00046.JPG,27.6725440304025021,-97.1699811744612845,52.96226533,2.52759730,0.85917255,163.06870120,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00047.JPG,27.6724179815893976,-97.1700695168583053,52.92264826,2.76516289,0.88078645,163.45502511,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00048.JPG,27.6722958095261760,-97.1701535411360879,52.79718073,2.13690904,0.16632625,163.37959903,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00049.JPG,27.6721703394997895,-97.1702413099350650,53.25229099,2.38170454,-0.06293672,161.33789486,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00050.JPG,27.6720519775629263,-97.1703272365260631,53.61210809,5.08264005,1.72584808,162.38804795,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00051.JPG,27.6719238643061054,-97.1704173079669857,53.38725663,2.54187225,-1.00179093,162.38973264,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00052.JPG,27.6718050393569364,-97.1705029459542544,53.73825410,4.62557064,3.01093239,163.20844135,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00053.JPG,27.6716854701304129,-97.1705848468401001,53.84357813,3.55403974,-0.19968755,165.32322355,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00054.JPG,27.6715569985007903,-97.1706725014508947,53.75572571,2.46331313,-2.25096240,163.69863950,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00055.JPG,27.6714380991284337,-97.1707583645694797,53.68649474,3.02384054,0.92861465,162.04330888,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00056.JPG,27.6713191649626431,-97.1708439853538692,53.65422709,3.78745548,2.34017228,164.56947881,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00057.JPG,27.6711901383615206,-97.1709321361481102,53.40974115,3.28062741,2.54673059,167.15776001,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00058.JPG,27.6710684609195781,-97.1710117026190545,53.38856620,2.47518723,-1.12880853,166.06503065,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00059.JPG,27.6709468593597698,-97.1710944809320836,53.16498020,1.64153566,0.18285470,165.14459221,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00060.JPG,27.6708215398866741,-97.1711822873568991,53.35118204,2.89984028,1.48117545,165.55955159,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00061.JPG,27.6707002607910191,-97.1712658475428981,53.10230750,2.42763010,0.73959818,165.64263063,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00062.JPG,27.6705784119006424,-97.1713493851440688,52.90544178,1.93337404,0.64473428,165.76557250,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00063.JPG,27.6704525198250089,-97.1714363092082749,52.84040303,2.15393467,0.64706817,164.63803617,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00064.JPG,27.6703312550825125,-97.1715204687327798,52.80198565,2.42977950,1.65157697,163.87659243,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00065.JPG,27.6702059279388912,-97.1716063816794104,53.13870817,2.86754490,0.75062365,164.03533577,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00066.JPG,27.6700857220296399,-97.1716885146256857,53.36855072,3.25770223,0.30573579,163.87624547,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00067.JPG,27.6699575663744675,-97.1717774360453035,53.63608667,3.13103472,-0.40241511,164.16933939,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00068.JPG,27.6698349971123712,-97.1718651485283971,53.90705245,3.70007159,-0.14214095,160.27868042,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00069.JPG,27.6697131231273126,-97.1719533677897545,54.20266497,4.14633770,0.23055358,160.35400118,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00070.JPG,27.6695914113660102,-97.1720411052881872,54.07294647,4.96564610,0.55115726,161.48466362,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00071.JPG,27.6694729322964186,-97.1721246503613116,54.00535625,3.79426980,-0.46297041,162.89465577,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00072.JPG,27.6693516384143514,-97.1722114801432468,54.14018200,5.12530796,-0.16287059,163.67133992,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00073.JPG,27.6692302751867700,-97.1722993433334779,53.79991785,3.91003422,-0.75619262,162.90064626,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00074.JPG,27.6691086841747307,-97.1723893659246727,53.47089718,3.54389059,-0.80850278,161.37351536,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00075.JPG,27.6689906206781195,-97.1724776905837047,53.24826873,3.83114209,2.19704248,162.10386960,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00076.JPG,27.6688730222104198,-97.1725700480458983,53.28353961,-11.09474233,-25.26226863,149.23288276,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00077.JPG,27.6687791395057516,-97.1727017476385271,52.85425790,-17.51026079,-18.31707967,126.96566779,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00078.JPG,27.6687228657838595,-97.1728549088064710,52.63097435,0.47866786,-2.94665227,122.67693480,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00079.JPG,27.6686843409564496,-97.1724910457462698,52.49711089,2.09280871,4.47550571,-47.74252573,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00080.JPG,27.6688085624030329,-97.1724021770092747,52.63162704,-0.51167274,0.29238821,-47.87621177,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00081.JPG,27.6689262283329320,-97.1723137258930052,53.64322083,-3.87817770,1.10848351,-49.41167215,0.03,0.06
21_06_15_Wingtra_Low_2_Flight_01_00082.JPG,27.6690479612422955,-97.1722225338089061,54.03887574,-3.43869882,3.33271661,-50.96819130,0.03,0.06
21_06_15_Wingtra_Low_2_Flight_01_00083.JPG,27.6691630881068633,-97.1721350884712507,54.13751927,-4.95937127,3.06672331,-50.84192131,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00084.JPG,27.6692886526882802,-97.1720401055501952,54.05333175,-4.77736511,3.38119225,-48.83988608,0.03,0.06
21_06_15_Wingtra_Low_2_Flight_01_00085.JPG,27.6694104564846057,-97.1719496847047282,54.13736044,-6.52861474,1.85876462,-47.95918039,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00086.JPG,27.6695290879209495,-97.1718643575959362,53.75150128,-4.90123129,2.17387954,-46.04740211,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00087.JPG,27.6696494041577132,-97.1717786900184279,53.60575128,-3.88640019,1.49098743,-48.62648751,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00088.JPG,27.6697756074807764,-97.1716889865699613,53.64917689,-4.75734607,1.89318874,-47.04602329,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00089.JPG,27.6698976741547362,-97.1716036165422707,53.13192828,-2.55404631,2.08207260,-47.87912062,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00090.JPG,27.6700202277081750,-97.1715178052985920,52.96350976,-3.20869795,0.87139825,-48.28389415,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00091.JPG,27.6701489666702152,-97.1714287199108071,52.89093746,-2.69145872,1.88236874,-47.05581789,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00092.JPG,27.6702666831237991,-97.1713472532405262,52.72592791,-1.99054838,1.91219757,-47.43190444,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00093.JPG,27.6703952747135524,-97.1712570370112445,52.58092293,-1.69107056,1.37041419,-48.34473741,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00094.JPG,27.6705173710390042,-97.1711706359117215,52.84375920,-2.77759824,0.67126591,-47.71601069,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00095.JPG,27.6706389882047006,-97.1710854255675827,53.27132933,-2.74026429,2.13426843,-47.44166093,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00096.JPG,27.6707598501996266,-97.1710009949572111,53.49627974,-2.24141756,3.55955170,-49.36658430,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00097.JPG,27.6708844516260086,-97.1709118246987487,53.69847185,-3.24745467,3.32059328,-48.68784513,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00098.JPG,27.6710028131114107,-97.1708260065097136,53.58627011,-3.26374814,4.33516836,-50.44633399,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00099.JPG,27.6711258884714795,-97.1707346604721067,53.16217347,-3.90757584,2.21228268,-49.94681788,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00100.JPG,27.6712443967631501,-97.1706468841762785,53.16461133,-4.82827914,0.76042064,-49.47531965,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00101.JPG,27.6713639535253115,-97.1705602219710300,53.16201526,-4.03571034,1.93264998,-48.33732175,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00102.JPG,27.6714896481126260,-97.1704702843374122,53.21503330,-2.47477862,2.71077511,-48.82067507,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00103.JPG,27.6716087140763989,-97.1703837962639199,53.66287904,-4.38161462,3.02244164,-50.02630078,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00104.JPG,27.6717321188273715,-97.1702933468712757,53.27251236,-4.78541179,2.21448118,-49.17613550,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00105.JPG,27.6718516408873505,-97.1702062619753519,53.05560556,-5.13487623,1.14079399,-47.41408597,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00106.JPG,27.6719788496455159,-97.1701163903260294,53.05676000,-3.08040030,2.03741064,-49.41101109,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00107.JPG,27.6721001158446676,-97.1700305947859988,53.22475201,-3.93056946,2.00515736,-49.09545295,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00108.JPG,27.6722211670772502,-97.1699450844108696,53.27805788,-3.60755774,2.20443968,-49.15823867,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00109.JPG,27.6723475366520120,-97.1698558620398529,53.37930344,-3.71656406,2.93694365,-49.68818597,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00110.JPG,27.6724677369117593,-97.1697703306488876,53.42924215,-2.72554815,3.83011841,-50.02719073,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00111.JPG,27.6725862699842793,-97.1696836460239695,53.55221577,-4.08312104,2.37122749,-51.86906156,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00112.JPG,27.6727148073508253,-97.1695898807518859,54.01274702,-6.51968115,2.24583860,-50.51529430,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00113.JPG,27.6728343762830562,-97.1695059924667248,53.81331916,-5.51158562,2.44833719,-49.20568041,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00114.JPG,27.6729563855910925,-97.1694233719776150,53.72504083,-18.83401813,-13.01004198,-46.27292624,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00115.JPG,27.6730997336379296,-97.1693565003191679,53.65490563,-19.52470995,-28.99117343,-31.14530676,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00116.JPG,27.6732340247502968,-97.1693334115395970,53.38108108,-9.78622314,-25.61386781,-11.82306935,0.06,0.04
21_06_15_Wingtra_Low_2_Flight_01_00117.JPG,27.6733838421592502,-97.1693381068706543,52.93735603,-4.72586415,-9.12290977,-3.58566144,0.05,0.04
21_06_15_Wingtra_Low_2_Flight_01_00118.JPG,27.6731069130663165,-97.1691298956789637,52.91528067,3.25492005,6.27243091,165.36982325,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00119.JPG,27.6729802392578037,-97.1692120864023536,53.06890242,2.33750777,1.23425136,167.57128107,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00120.JPG,27.6728512576823498,-97.1692934959937844,53.15643309,1.40294729,-2.77598235,165.57380044,0.03,0.05
21_06_15_Wingtra_Low_2_Flight_01_00121.JPG,27.6727295655637917,-97.1693789148462486,53.35465043,2.24658188,-1.71721128,162.84911246,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00122.JPG,27.6726056746790334,-97.1694723883419016,53.28259550,3.21227198,2.12092156,163.12238530,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00123.JPG,27.6724858011935453,-97.1695607825480607,53.25466956,3.08256627,0.86769107,165.09398267,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00124.JPG,27.6723654276634257,-97.1696478512648127,53.02654222,1.87130533,-0.55802212,165.33800447,0.02,0.04
21_06_15_Wingtra_Low_2_Flight_01_00125.JPG,27.6722456780679558,-97.1697372060546485,52.98109222,1.73268943,0.65880233,163.99666717,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00126.JPG,27.6721266432530548,-97.1698277743236076,52.87248600,2.12441889,2.49081287,164.51896542,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00127.JPG,27.6720073283736845,-97.1699161715851290,52.96027342,2.30692206,3.02468183,166.00764449,0.03,0.04
21_06_15_Wingtra_Low_2_Flight_01_00128.JPG,27.6718876557517817,-97.1700023547313947,53.10025283,2.21645535,1.28921413,164.67762892,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00129.JPG,27.6717628661030766,-97.1700908582471214,52.95875205,1.86996507,0.69558272,165.67807853,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00130.JPG,27.6716416889972052,-97.1701764301940329,52.95761285,0.60039098,-0.98898815,164.94092980,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00131.JPG,27.6715183044871651,-97.1702689389242380,53.28568475,2.15259599,0.58534112,163.25875854,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00132.JPG,27.6714001685722657,-97.1703592438824870,53.36825149,3.15339380,2.95170028,164.36846023,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00133.JPG,27.6712811636088638,-97.1704463869278072,53.37449030,2.52650179,0.35865635,164.69594431,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00134.JPG,27.6711578115755223,-97.1705361836377790,53.47505763,2.28201161,0.11360949,164.55178355,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00135.JPG,27.6710392930647444,-97.1706235768195654,53.51437015,2.49577817,-0.79564554,164.24979104,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00136.JPG,27.6709167513712764,-97.1707154218975404,53.49019217,2.80134459,1.29877700,164.03298430,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00137.JPG,27.6707983944681075,-97.1708030424843656,53.47927631,3.16210111,1.86773139,166.05993093,0.02,0.03
21_06_15_Wingtra_Low_2_Flight_01_00138.JPG,27.6706706007210173,-97.1708941889146161,53.46192927,2.61841132,0.12658256,165.73370255,0.02,0.03
